X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
0.192323453,0.021066736,-0.077227741,0.648732756,1.846835331,30.89160978,0.717093601,5.855640089,0.282906399,4.138161741,0.010063398,0.374042016,0.033636745,0.02690446,0.079282016,0.264998843,0.210325893,1.717478348,0.703010866,0.105125934,0.146600017,0.049899206,0.299178723,1
0.226703476,-0.58613055,0.334255809,0.437075336,0.776436643,41.49465689,0.611709006,2.405660755,0.388290994,1.977364197,0.097101134,0.560430795,0.293379263,0.173261595,0.114248905,0.345189168,0.10890682,0.428296558,0.329048707,0.155484961,0.254181252,0.055138065,0.330974768,1
0.096388504,-0.659101033,0.322259847,1.302054729,-4.31065832,5.40437123,0.416252685,6.3119676,0.583747315,5.041599105,-0.025747828,-0.539539858,-0.161445376,0.047721827,0.201869116,1.265770291,0.083776459,1.270368495,0.525299539,0.029162068,0.070058571,0.14211031,0.159483215,1
0.051129681,85.88287415,0.034689835,0.679652503,0.148552131,3.285716522,16.80530573,0.98354768,0.533246434,0.010909563,0.016995462,0.167572323,0.000582064,0.101421653,0.135557885,0.004642613,0.280348221,0.016407666,0.009601421,0.038789295,0.002308158,0.447798864,29.19861695,0
0.346689801,3.799287481,1.224645262,0.669262469,0.194233098,19.42009889,6.907357549,1.765144742,0.467635907,0.074604735,0.054459901,0.290878293,0.010515037,0.187225732,0.213516363,0.041225425,0.240421135,0.06143856,0.046420159,0.01585139,0.002294856,0.076939984,5.179239847,0
0.210473668,0.762620604,0.195008437,0.657415672,1.285369254,6.315022321,0.779202681,0.657562036,0.3924394,0.333728002,0.04901603,0.189183732,0.048064691,0.259092201,0.199543266,0.195670385,0.212097146,0.178986848,0.207980611,0.165851665,0.212847913,0.2408713,1.019792883,0
0.325449,-0.78178893,0.184729659,0.736518277,24.89171253,11.30220212,0.044259285,1.55856488,0.319394999,16.12897164,0.010827461,0.10490353,0.151665306,0.103213505,0.252677153,3.539366954,0.222583165,7.838136236,3.117826402,0.101370294,2.290373535,0.120130532,0.071390493,1
0.012007406,-0.422408125,0.371763439,0.410993842,7.240917192,16.92434723,0.104946229,1.112709134,0.660027062,3.20660849,0.032415382,0.253583384,0.091731556,0.127829284,0.195162054,0.552284677,0.037538582,0.398008802,0.106229583,0.070111974,0.668075211,0.143764864,0.353372206,0
0.745315752,17.27731343,0.716536785,0.891225239,0.192826177,11.350565,11.44161344,0.964732926,0.226050597,0.062960786,0.020482505,0.090531265,0.000924471,0.226247856,0.43438287,0.01960572,0.027242256,0.00229701,0.00122957,0.310097515,0.027102604,0.098854181,22.15592537,0
0.188303388,-0.490774043,0.398182485,0.777835851,7.2783245,7.374079744,0.351400997,1.49228181,0.262066877,2.851336487,0.014071221,0.114424759,0.01984855,0.122973572,0.205622285,0.290046203,0.066503318,0.282417217,0.093808095,0.061960343,0.176323755,0.174342879,0.708929417,0
